rank|status|study|conditions|interventions|study_type|phase|funder_type|outcome_measures|number_enrolled|nct_number|start_date
3455|Completed|IL13-PE38QQR Infusion After Tumor Resection Followed by Radiation Therapy With or Without Temozolomide in Patients With Newly Diagnosed Malignant Glioma||Drug:IL13-PE38QQR;  Procedure:Surgeryforplacement;  Procedure:Radiationtherapy;  Drug:Temozolomidewithradiationtherapy|Interventional|Phase 1|Industry||24|NCT00089427|July 2004
3456|Recruiting|Sym004 in Combination With Nivolumab Versus Nivolumab Monotherapy in EGFR-amplified Squamous Non-Small Cell Lung Cancer||Drug:Sym004;  Drug:Nivolumab|Interventional|Phase 1 / Phase 2|Industry|Phase 1b: Determination of the Dose-Limiting Toxicities (DLT) and the MTD and/or RP2D of escalating doses of Sym004 in combination with a standard dose of nivolumab;  Phase 2b: Evaluation of the antitumor effects of the RP2D of Sym004 when administered in combination with a standard dose of nivolumab as measured by Response Rate;  Number of participants with treatment-related adverse events (AEs) as assessed by NCI-CTCAE v4.03;  Evaluation of the occurrence of anti-drug antibodies (ADAs) to Sym004 measured in serum at selected timepoints from baseline to end of trial participation;  Areaundertheconcentration-timecurve(AUC);  Dose-normalized AUC from End-of-Infusion to 336 hours (AUCnorm 0-336h);  ConcentrationatEnd-of-Infusion;  Clearance(CL);  MaximumConcentration(Cmax);  TroughConcentration(Ctrough);  EliminationHalf-Life(T&#189;);  Timetoreachmaximumconcentration(Tmax);  VolumeofDistribution(VD);  Evaluation of the antitumor effects of Sym004 in combination with nivolumab as measured by progression-free survival (PFS);  Evaluation of the antitumor effects of Sym004 in combination with nivolumab as measured by overall survival (OS);  Evaluation of the antitumor effects of Sym004 in combination with nivolumab as measured by 12-month OS;  Evaluation of the antitumor effects of Sym004 in combination with nivolumab as measured by duration of response (DOR)|93|NCT02924233|November 2016
3457|Terminated|Trial Comparing Peripheral I.V. Catheter Complication Rates of Two Different Catheter Dressings||Device: 3M&#8482; Tegaderm&#8482; I.V. Advanced Securement Dressing Cat #1683;  Device: 3M&#8482; Tegaderm&#8482; IV Transparent Film Dressing Cat #1624W|Interventional||Industry|Dressingweartime;  Peripheral I.V. (PIV) catheter-related complications;  Overall and specific Peripheral I.V. (PIV) catheter-related complication rates;  Incidence of unscheduled Peripheral I.V. (PIV) catheter restarts;  Cost effectiveness of Tegaderm&#8482; 1683 securement dressing to a flat film dressing|247|NCT02725788|September 2014
3458|Active not recruiting|NIOX VERO Nasal Application in Primary Ciliary Dyskinesia|||Observational||Industry|The primary endpoint will be the analysis of the means of the successful nNO measurements in Subjects with PCD as compared with Healthy Subjects in the Evaluable Population.|163|NCT02622061|May 2016
3459|Active not recruiting|Phase 1 Trial of Bevacizumab Treatment for Severe Retinopathy of Prematurity||Drug:Bevacizumab|Interventional|Phase 1|Other / NIH|SuccessfulTreatmentofROP;  DistributionofVEGFLevels;  DistributionofAvastinLevels;  Number of study eye and fellow eyes requiring additional treatment/s for ROP and if retreated type of treatment;  Any adverse events or complications since the 4-week exam;  Assessmentofvision;  Proportion of infants for whom at least one event was reported;  Proportion of infants with an adverse event thought by investigator to be related to study drug;  Proportion of infants for whom at least one serious adverse event was reported;  Proportionofinfantdeaths|112|NCT02390531|April 2015
3460|Completed|Ultherapy&#174; for the Treatment of Erythematotelangiectatic Rosacea||Device:UltheraSystemTreatment|Interventional||Industry|Clinician Erythema Assessment at 90 days post-treatment compared to baseline;  CEA scale at 180 days post-treatment compared to baseline.;  CEA scale at 365 days post-treatment compared to baseline.;  Patient Self-Assessment (PSA) of erythema at 90 Days compared to baseline.;  Patient Self-Assessment (PSA) of erythema at 180 Days compared to baseline.;  Patient Self-Assessment (PSA) of erythema at 365 Days compared to baseline.;  Dermatology Life Quality Index (DLQI) Assessment at 90 Days post-treatment;  Dermatology Life Quality Index (DLQI) Assessment at 180 Days post-treatment;  Dermatology Life Quality Index (DLQI) Assessment at 365 Days post-treatment;  Colorimeterat90Dayspost-treatment;  Colorimeterat180Dayspost-treatment;  Colorimeterat365Dayspost-treatment|88|NCT02144181|May 2014
3461|Active not recruiting|Sunitinib Scheduling in Metastatic Renal Cell Carcinoma (mRCC)||Drug:Sunitinib;  Behavioral:Questionnaire|Interventional|Phase 2|Other / Industry|RateofToxicity;  Progression-FreeSurvival(PFS)|60|NCT02060370|August 2014
3462|Completed|Safety and Immunogenicity of a Trivalent Group B Streptococcus Vaccine in Healthy Pregnant Women||Biological:GBSvaccine;  Biological:Placebo|Interventional|Phase 2|Industry|Concentration of GBS IgG levels in infant serum at Delivery and Days 42 and 90 of age;  Concentration of GBS IgG levels in maternal serum at prevaccination Study Day 31 at Delivery and at Days 42 and 90 postpartum;  Ratio relative to prevaccination levels of maternal serum GBS IgG antibody levels as measured at Study Day 31 Delivery and at Days 42 and 90 postpartum;  Ratio of GBS antibody levels in infant serum relative to maternal serum at the time of Delivery|75|NCT02046148|March 2014
3463|Completed|Clinical Evaluation of BD NEXT Pen Needle||Device:BDNEXT31Gx5mmpenneedle;  Device:BDNEXT31Gx8mmpenneedle;  Device:BDNEXT32Gx4mmpenneedle|Interventional||Industry|OverallPenNeedlePreference;  Relativeperceivedthumbforce;  Confidenceinfulldosedeliveryofinsulin;  Perceived injection time to deliver full dose of insulin;  Penusergroupsubsetcomparisons|217|NCT01852136|September 2012
3464|Completed|Seprafilm in Open Abdomens: a Study of Wound and Adhesion Characteristics in Trauma Damage Control Patients||Biological:Seprafilm|Interventional||Other|Woundhealingcharacteristics;  Adhesioncharacteristics|30|NCT01594385|April 2010
3465|Terminated                  Has Results|Pilot Study of Catheter Ablation for Ventricular Tachycardia in Patients With an Implantable Cardioverter Defibrillator||Drug:amiodarone;  Drug:sotalol;  Device:BiosenseWebster&apos;sNAVI-STARThermo-Cool|Interventional||Other|Number of Participants Completed Month 3 Follow-Up;  Number of Participants Completed Month 6 Follow-Up;  Number of Participants Had at Least One of the Efficacy Outcome Measurement;  CardiovascularHospitalizations;  Number of Participants Remained on Randomized Treatment Assignment;  NumberofParticipantsSwitchedtoOtherArm;  TimetoFirstRecurrentICDTherapyforVT;  Number of Participants Received Treatment Assigned|27|NCT01576042|May 2012
3466|Completed                  Has Results|Safety Study of Replagal&#174; Therapy in Children With Fabry Disease||Biological:Replagal(agalsidasealfa)|Interventional|Phase 2|Industry|NumberofSeriousAdverseEvent(SAE);  NumberofTreatmentEmergentAdverseEvent(TEAE);  DevelopmentofIgGAnti-AgalsidaseAlfaAntibody;  Change From Baseline in Heart Rate Variability Parameter SDNN;  Change From Baseline in Heart Rate Variability Parameter rMSSD;  Change From Baseline in Heart Rate Variability Parameter pNN50;  ChangeFromBaselineinLVMI;  ChangeFromBaselineinMFS;  ChangeFromBaselineinPlasmaGb3;  ChangeFromBaselineinUrineGb3|15|NCT01363492|May 2011
3467|Completed                  Has Results|Tolerance to Target Doses of Thiazides in Actual Practice: A Feasibility Study||Other: Favor one of two thiazides for new prescriptions &amp; attempt target dose|Interventional|Phase 4|U.S. Fed|PrescriptionRates;  FactorsAssociatedWithPrescribingPatterns|20|NCT01235377|September 2011
3468|Completed                  Has Results|2010-2011 Trivalent Influenza Vaccine (TIV) in Pregnant Women||Biological: Trivalent inactivated influenza vaccine|Interventional|Phase 2|NIH|Number of Participants Reporting Vaccine-associated Unsolicited Non-serious Adverse Events;  Number of Participants Reporting Maternal Complications of Pregnancy Labor and Delivery;  Number of Participants Reporting Neonatal Complications;  Number of Participants Reporting Vaccine-associated Serious Adverse Events (SAEs);  Number of Participants Reporting Solicited Subjective Local Reactions After Vaccination;  Number of Participants Reporting Solicited Quantitative Local Reactions After Vaccination;  Number of Participants Reporting Solicited Subjective Systemic Reactions After Vaccination;  Number of Participants Reporting Fever After Vaccination;  Hemagglutination Inhibition Assay (HAI) Geometric Mean Titer (GMT) Against Each Antigen in the 2010-2011 Seasonal Influenza Trivalent Influenza Vaccine;  Number of Participants With 4-fold or Greater Serum HAI Antibody Titer Increases Against Each Antigen in the 2010-2011 Seasonal Influenza Trivalent Influenza Vaccine;  Number of Participants With HAI Antibody Titer of 40 or Greater Against Each Antigen in the 2010-2011 Seasonal Influenza Trivalent Influenza Vaccine;  Hemagglutination Inhibition Assay (HAI) Geometric Mean Titer (GMT) Against Each Antigen in the 2010-2011 Seasonal Influenza Trivalent Influenza Vaccine at 6 Months After Vaccination;  Number of Participants With 4-fold or Greater Serum HAI Antibody Titer Increases Against Each Antigen in the 2010-2011 Seasonal Influenza Trivalent Influenza Vaccine at 6 Months After Vaccination;  Number of Participants With HAI Antibody Titer of 40 or Greater Against Each Antigen in the 2010-2011 Seasonal Influenza Trivalent Influenza Vaccine at 6 Months After Vaccination;  Maternal HAI GMT Against Each Antigen in the 2010-2011 Seasonal Influenza Trivalent Influenza Vaccine at Time of Delivery;  Number of Participants With 4-fold or Greater Maternal Serum HAI Antibody Titer Increases Against Each Antigen in the 2010-2011 Seasonal Influenza Trivalent Influenza Vaccine at Time of Delivery;  Number of Participants With a Maternal Serum HAI Antibody Titer Greater Than or Equal to 40 Against Each Antigen Included in the 2010-2011 Inactivated TIV at Time of Delivery.;  HAI GMT Against Each Antigen in the 2010-2011 Seasonal Influenza Trivalent Influenza Vaccine in Cord Blood Collected at Time of Delivery;  Number of Participants With HAI Antibody Titer Greater Than or Equal to 40 Against Each Antigen Included in the 2010-2011 Inactivated TIV in Cord Blood Collected at Time of Delivery.|183|NCT01173211|September 2010
3469|Terminated|Sinus Augmentation With Dental Implant||Device:INFUSE&#174;BoneGraft|Observational||Industry|Clinical stability and osseointegration of endosseous dental implants;  Evidence of successful INFUSE&#174; Bone Graft placement as well as the safety of INFUSE&#174; when used in sinus augmentation which will be confirmed by CT scans.|23|NCT00991393|October 2009
3470|Completed|Safety and Efficacy of CMX-2043 in Subjects Undergoing Coronary Reperfusion Therapy||Drug:CMX-2043;  Drug:Placebocontrol|Interventional|Phase 2|Industry|SafetyasmeasuredbychangesinCK-MB;  Cardiacbiomarkers;  STsegmentchanges|142|NCT00984802|February 2010
3471|Terminated|A Study of MGCD265 Given With Erlotinib or Docetaxel in Subjects With Advanced Malignancies or Non-Small Cell Lung Cancer||Drug:MGCD265+erlotinib;  Drug:MGCD265+docetaxel|Interventional|Phase 1|Industry|Phase I: Safety profile (including maximum tolerated dose and dose limiting toxicities);  Phase II: Antitumor activity of MGCD265+erlotinib and MGCD265+docetaxel;  Phase I: Pharmacokinetic profiles of MGCD265+erlotinib and MGCD265+docetaxel;  Phase I and Phase II: Pharmacodynamic profiles of MGCD265+erlotinib and MGCD265+docetaxel;  Phase I: Antitumor activity of MGCD265+erlotinib and MGCD265+docetaxel.;  Phase II: Safety profile of MGCD265+erlotinib and MGCD265+docetaxel;|126|NCT00975767|August 2009
3472|Completed                  Has Results|H1N1 Vaccine in Pregnant Women||Biological:InactivatedH1N1Vaccine|Interventional|Phase 2|NIH|Number of Participants Reporting Solicited Subjective Local Reactions After First Vaccination;  Number of Participants Reporting Solicited Subjective Local Reactions After Second Vaccination;  Number of Participants Reporting Solicited Quantitative Local Reactions After First Vaccination;  Number of Participants Reporting Solicited Quantitative Local Reactions After Second Vaccination;  Number of Participants Reporting Solicited Subjective Systemic Reactions After First Vaccination;  Number of Participants Reporting Solicited Subjective Systemic Reactions After Second Vaccination;  Number of Participants Reporting Fever After First Vaccination;  Number of Participants Reporting Fever After Second Vaccination;  Number of Participants With 4-fold or Greater Serum Hemagglutination Inhibition (HAI) Antibody Titer Increases Against Influenza H1N1 2009 Virus Following a Single Dose of H1N1 Vaccine;  Number of Participants With a Serum Hemagglutination Inhibition (HAI) Antibody Titer of 1:40 or Greater Against Influenza H1N1 2009 Virus Following a Single Dose of H1N1 Vaccine;  Number of Participants Reporting Maternal Complications of Pregnancy Labor and Delivery;  Number of Participants Reporting Neonatal Complications;  Number of Participants Reporting Vaccine-associated Serious Adverse Events (SAEs);  Number of Participants With a Serum Hemagglutination Inhibition Assay (HAI) Antibody Titer Greater Than or Equal to 40 Against the Novel Influenza H1N1 2009 Virus in the Maternal Blood at the Time of Delivery;  Number of Participants With a Serum Hemagglutination Inhibition Assay (HAI) Antibody Titer Greater Than or Equal to 40 Against the Novel Influenza H1N1 2009 Virus in Cord Blood;  Number of Participants With 4-fold or Greater Serum Hemagglutination Inhibition (HAI) Antibody Titer Increases Against Influenza H1N1 2009 Virus Following 2 Doses of H1N1 Vaccine;  Number of Participants With a Serum Hemagglutination Inhibition (HAI) Antibody Titer of 1:40 or Greater Against Influenza H1N1 2009 Virus Following 2 Doses of H1N1 Vaccine|120|NCT00963430|September 2009
